Apartment Name,Apartment Type,Available Room,Price,,,Lower Bound,Upper Bound,Price Mean in $,Area,Area in sqft Cleaned,#Beds,#Beds Cleaned,#Baths,#Baths Cleaned,Availability,Ratings,Ratings in starts
The Voyageur Apartments,One Bedroom,1756C,$664 ,664,664,664,664,664,700 sqft,700,1 Bed,1,1 Bath,1 ,Today,NA,NA
The Voyageur Apartments,One Bedroom,820D,$664 ,664,664,664,664,664,700 sqft,700,1 Bed,1,1 Bath,1 ,Today,NA,NA
The Voyageur Apartments,Two Bedroom Townhome,831,$783 ,783,783,783,783,783,1000 sqft,1000,2 Beds,2,1.5 Bath,1.5 ,Today,NA,NA
The Voyageur Apartments,Two Bedroom Townhome,846,$783 ,783,783,783,783,783,1000 sqft,1000,2 Beds,2,1.5 Bath,1.5 ,Today,NA,NA
The Voyageur Apartments,Two Bedroom Townhome,919,$783 ,783,783,783,783,783,1000 sqft,1000,2 Beds,2,1.5 Bath,1.5 ,Today,NA,NA
The Voyageur Apartments,Two Bedroom Townhome - Platinum,836,$825 ,825,825,825,825,825,1000 sqft,1000,2 Beds,2,1.5 Bath,1.5 ,Today,NA,NA
The Voyageur Apartments,Two Bedroom Townhome - Platinum,937,$825 ,825,825,825,825,825,1000 sqft,1000,2 Beds,2,1.5 Bath,1.5 ,Today,NA,NA
The Voyageur Apartments,Three Bedroom Townhome,1810,$894 ,894,894,894,894,894,1200 sqft,1200,3 Beds,3,2 Bath,2 ,Today,NA,NA
The Voyageur Apartments,Three Bedroom Townhome,1833,$894 ,894,894,894,894,894,1200 sqft,1200,3 Beds,3,2 Bath,2 ,Today,NA,NA
The Voyageur Apartments,Three Bedroom Townhome,1806,$894 ,894,894,894,894,894,1200 sqft,1200,3 Beds,3,2 Bath,2 ,Apr 30,NA,NA
The Voyageur Apartments,One Bedroom - Platinum,NA,$715 ,715,715,715,715,715,700+ sqft,700,1 Bed,1,1 Bath,1 ,Contact,NA,NA
The Voyageur Apartments,Three Bedroom Townhome - Platinum,NA,$975 ,975,975,975,975,975,1200+ sqft,1200,3 Beds,3,2 Bath,2 ,Contact,NA,NA
